"filename","DGPid","trueATE"
"high1",3,-0.800000000000001
"high10",15,-0.16058
"high100",3,-0.800000000000001
"high1000",1,0.2
"high1001",15,-0.16058
"high1002",6,-1.1039
"high1003",6,-1.1039
"high1004",14,61.11
"high1005",6,-1.1039
"high1006",9,12.62
"high1007",16,1
"high1008",1,0.2
"high1009",7,0
"high101",16,1
"high1010",11,10.77
"high1011",10,9.134
"high1012",14,61.11
"high1013",16,1
"high1014",15,-0.16058
"high1015",5,-0.3429
"high1016",11,10.77
"high1017",16,1
"high1018",14,61.11
"high1019",2,0.8
"high102",3,-0.800000000000001
"high1020",8,-1.432
"high1021",8,-1.432
"high1022",2,0.8
"high1023",10,9.134
"high1024",14,61.11
"high1025",12,-3.159
"high1026",2,0.8
"high1027",3,-0.800000000000001
"high1028",8,-1.432
"high1029",11,10.77
"high103",13,-0.8486
"high1030",5,-0.3429
"high1031",10,9.134
"high1032",2,0.8
"high1033",13,-0.8486
"high1034",2,0.8
"high1035",14,61.11
"high1036",7,0
"high1037",3,-0.800000000000001
"high1038",13,-0.8486
"high1039",9,12.62
"high104",13,-0.8486
"high1040",10,9.134
"high1041",2,0.8
"high1042",13,-0.8486
"high1043",5,-0.3429
"high1044",11,10.77
"high1045",8,-1.432
"high1046",15,-0.16058
"high1047",15,-0.16058
"high1048",9,12.62
"high1049",1,0.2
"high105",6,-1.1039
"high1050",12,-3.159
"high1051",9,12.62
"high1052",11,10.77
"high1053",2,0.8
"high1054",2,0.8
"high1055",4,2.1
"high1056",5,-0.3429
"high1057",1,0.2
"high1058",4,2.1
"high1059",13,-0.8486
"high106",4,2.1
"high1060",15,-0.16058
"high1061",11,10.77
"high1062",3,-0.800000000000001
"high1063",7,0
"high1064",8,-1.432
"high1065",14,61.11
"high1066",14,61.11
"high1067",3,-0.800000000000001
"high1068",14,61.11
"high1069",13,-0.8486
"high107",7,0
"high1070",12,-3.159
"high1071",5,-0.3429
"high1072",8,-1.432
"high1073",12,-3.159
"high1074",16,1
"high1075",12,-3.159
"high1076",14,61.11
"high1077",1,0.2
"high1078",3,-0.800000000000001
"high1079",9,12.62
"high108",14,61.11
"high1080",3,-0.800000000000001
"high1081",7,0
"high1082",13,-0.8486
"high1083",13,-0.8486
"high1084",3,-0.800000000000001
"high1085",12,-3.159
"high1086",3,-0.800000000000001
"high1087",14,61.11
"high1088",11,10.77
"high1089",8,-1.432
"high109",13,-0.8486
"high1090",1,0.2
"high1091",10,9.134
"high1092",11,10.77
"high1093",16,1
"high1094",5,-0.3429
